,news,date
0,The company says it has determined the likely cause of an explosion in September that led to setbacks in its schedule.,2017-01-02T14:30:09+0000
1,"The return to business for Elon Musk’s company was successful, despite being overshadowed by questions about the viability of his long-range plans.",2017-01-14T17:58:44+0000
2,"The highway agency found that while Tesla’s Autopilot feature didn’t prevent a crash in Florida, the system performed as it was intended.",2017-01-20T01:34:40+0000
3,Electric vehicles offer a new chance to Chinese car-making efforts that have floundered in the past. But lavish state aid could be as much bane as boon.,2017-01-26T16:43:52+0000
4,"The political tide might seem unfavorable for electric cars and solar panels, but the new president may see them as part of a job-producing future.",2017-01-26T17:39:58+0000
5,"The political tide might seem unfavorable for electric cars and solar panels, but the new president may see them as part of a job-producing future.",2017-01-26T17:39:58+0000
6,"Mr. Musk might seem to be anathema to the president, yet he’s part of Mr. Trump’s meetings with business leaders. The reasons: jobs, vision and power.",2017-01-27T16:55:18+0000
7,"Mr. Musk might seem to be anathema to the president, yet he’s part of Mr. Trump’s meetings with business leaders. The reasons: jobs, vision and power.",2017-01-27T16:55:18+0000
8,"Social media tries to tamp down fake news sites, the president isn’t giving up his unsecured phone and Elon Musk is trying to be a voice of reason.",2017-01-28T14:00:03+0000
9,A whirlwind three-month project is helping the luxury carmaker transform itself into a multifaceted clean energy company.,2017-01-30T14:00:25+0000
10,Whispered questions among business leaders over the weekend produced no clear consensus on what to say about the President Trump’s immigration order in public.,2017-01-31T02:07:42+0000
0,Uber’s chief executive told employees he was leaving a presidential advisory council after intense criticism from customers and employees.,2017-02-03T17:33:21+0000
1,"The tech industry was in an uproar over President Trump’s immigration order, but Silicon Valley’s most noted Trump supporter was unfazed. He’s applied for New Zealand citizenship.",2017-02-04T14:00:17+0000
2,"In a court filing, nearly 100 technology companies cited the “tremendous impact” of immigrants on the United States in opposing the Trump immigration ban.",2017-02-06T10:46:43+0000
3,"The popular imagination may associate billionaires with superyachts and private islands, but just as many live modestly, complicating the idea of the billionaire lifestyle.",2017-02-19T05:01:15+0000
4,The rocket lifted off from a launchpad used for the Apollo moon missions. It was the first launch from Kennedy Space Center in more than five years.,2017-02-19T14:53:33+0000
5,"A Falcon 9 rocket from Elon Musk’s Space Exploration Technologies Corporation, or SpaceX, was launched at the John F. Kennedy Space Center in Florida on Sunday, carrying supplies, experiments and cargo to the International Space Station.",2017-02-19T16:41:06+0000
6,No deal on the latest stage of a bailout is expected in Brussels. Minutes from the Federal Reserve’s first 2017 meeting could offer clues to its next move on interest rates.,2017-02-20T02:00:02+0000
7,"If the mission proceeds as planned, the private space travelers would be the first humans to venture that far into space in more than 40 years.",2017-02-27T23:59:32+0000
0,"Along with sensors, autonomous vehicles will need detailed maps of the road and the obstacles ahead. Creating these maps will be a monumental task.",2017-03-02T15:12:44+0000
1,Ready for liftoff?,2017-03-03T15:00:46+0000
2,"While the battle in Washington gets much of the attention, the most direct attack against electric vehicles is being waged in statehouses.",2017-03-11T10:00:18+0000
3,"While immigration, health care and Russia are hogging the media oxygen, big reversals are happening in Obama-era tech policy.",2017-03-11T14:00:03+0000
4,The electric carmaker has lost money three years in a row and plans to supercharge production of its mass market model with very little buffer.,2017-03-17T19:01:39+0000
5,The electric carmaker has lost money three years in a row and plans to supercharge production of its mass market model with very little buffer.,2017-03-17T19:01:39+0000
6,"The purchase came as the carmaker has sought to raise more cash before starting production of its Model 3, an electric vehicle targeting the mass market.",2017-03-28T14:24:56+0000
7,"The purchase came as the carmaker has sought to raise more cash before starting production of its Model 3, an electric vehicle targeting the mass market.",2017-03-28T14:24:56+0000
8,Ignoring climate change and the benefits of clean energy only helps a rival.,2017-03-29T07:21:26+0000
9,"The use of a rocket booster that had flown once before may open an era of cheaper space travel, particularly for business ventures like satellite companies.",2017-03-30T22:42:24+0000
10,"SpaceX launched a “pre-flown” rocket into space on Thursday. If the company can repeat it, this method could slash the price of space travel in the future.",2017-03-31T00:36:13+0000
0,"The electric-car maker said it produced 25,418 vehicles in the first quarter, compared with 15,510 a year ago. The company wants to produce 500,000 cars in 2018.",2017-04-03T00:20:32+0000
