Column1;Unnamed: 0;date;news;label
5739;5739;7112022; But the demand for Tesla miles significantly increases. Tons of people today can't afford a Tesla but would happily take Tesla robotaxis everywhere if they were cheap and convenient enough.;0
5740;5740;7112022; yeah... of course... absolutely embarassing man. It is not like you saw the market and tesla dipping and thought I d rather get out of this deal.;0
5741;5741;7112022; Remind me of the FUD Tesla is going through;0
5742;5742;7112022; when will SpaceX or Tesla create an electrostatic fusion confinement group? I bet we could have this problem solved within 1-2 years? Free electricity for everyone?;1
5743;5743;7112022; I wanna Tesla i hope one day have one ????;1
5744;5744;7112022; Here’s one thing I’ll never buy - a Tesla.;-1
5745;5745;7112022; y’all gonna work out a deal to put Tesla vehicles in GTA 6? ??????;1
5746;5746;7112022; It's a drive between Tri motor and dual motor vehicles. Obviously plaid has more horsepower. What excites me abt the tesla is the pick up and the speed as an EV.;1
5747;5747;7112022; Now if they could just make a Tesla charge and handle like a Porsche.;0
5748;5748;7112022; You’re doing that yourself? We hired an electrician off the Tesla site to run line to the wall charger.;0
5749;5749;7112022; Ford’s electric crossover accolades for the Mustang Mach-E could help it take on Tesla ;0
5750;5750;7112022; Meanwhile, Musk backing away from Tesla could be good news;-1
5751;5751;7112022; Now we’re stuck with gay tesla owners;-1
5752;5752;7112022; Tesla doesn’t even offer its miniature key fob on the Model S and Model X anymore ;0
5753;5753;7112022; As if this is some sort of hardship. And when are you selling your tesla?;0
5754;5754;7112022; I don't want to make it look like they have fixed things. I want them to fix things. Half the 2021 orders isn't good enough. Half the 14-20 orders isn't good enough. They need to deliver everything they are late on this Q or everything ahead will be late too.;-1
5755;5755;7112022;" FU / / &amp; all your #MAGAmoron “Stans” PS. “retruth” option is classic “bamboozle 101” from Grifters like Donald Trump &amp; etc. ????????? ?? / RIP Carl Sagan ";-1
5756;5756;7112022; You really need to stop making a fool of yourself with the Twitter disaster, and try to focus on helping Tesla recover from your self inflicted damage. Pay the penalty to end the debacle of putting yourself up as the poster boy for White Supremacists on Twitter. #Fascist;-1
5757;5757;7112022;" Thanks for the pic, danielle x, but I have a question: -- I have a couple of charging places right around the corner from me, and the single ""unit"" has two charging cables. -- Why do Tesla units have only one? -- Or do some have two? Maybe a dumb question.";0
5759;5759;7112022; Thought this was interesting - After generally keeping in line with the fleet, in mid 2021 my battery started showing a fair bit more capacity loss. A few 100% charges and runs down to 5-10%, and it seems to have recovered to where I’m sitting above the fleet! ;1
5760;5760;7112022; Not by choice, but mere events that happened to me-and continue to happen. I can not understand something fully if I do not know the ins and outs, and that’s information that died with Nikola Tesla. So I am here to find my own results, since the govt refuses me the info.;0
5761;5761;7112022; Today is the birthday of Nikola Tesla (10 July 1856 – 7 January 1943), Serbian-American physicist and engineer. ;1
5762;5762;7112022; What the government needs to look into is why LIED to customers about FSD hardware in their $100K+ cars. #MCU1 #IWantARefund;-1
5763;5763;7112022; Tesla buyers TSLA buyers Be like....... ;0
5764;5764;7112022; Well he obviously didn’t do his DD beforehand, in which case that’s his problem. Back then it wasn’t about making money or a financial thing, it was about saving civilization by getting Trump back on Twitter. Then Tesla stock in the market went down and things changed;-1
5765;5765;7112022; Nikola Tesla is one my favorite fringe scientists.who would of thought he was a Stalin supporter??????;1
5766;5766;7112022;" Elon offers Tesla stock to get out of the deal; Twitter say just give us the cash";0
5767;5767;7112022; It’s where he keeps his tesla;0
5768;5768;7112022; Today is day 258 of me asking for a Cybertruck for my birthday, Tesla is the future. #Tesla;1
5769;5769;7112022; Great due diligence Elon. As of you didn’t know the bot issue when you made the offer DUH #twitter $twtr. Markets went south- you overpaid, #Tesla got smacked, your timing was horrendous and detrimental to #tesla holders.;-1
5770;5770;7112022; You live in absolute fantasy to even compare Tesla to Porsche let alone even suggest that the ageing legacy Model S is a better buy.;1
5771;5771;7112022; 2. Set an example Elon Musk set up his desk on the factory floor at Tesla. This not only motivates his employees that watch him but also himself to give his best. You’re not a CEO but: Setting an example for those around you will motivate you to consistently improve.;1
5772;5772;7112022; IT HAPPENED! Elon Musk Reveals Nancy Pelosi's Weird Law make Tesla STOP ... ;-1
5773;5773;7112022; Here's a real phone vs the smartphone you have ;0
5774;5774;7112022; #NASDAQ:MULN gained 9.35% during Friday’s trading session. ?? EV Stocks rise as Washington backs domestically made brands. ?? Tesla surges as it opens its charging network in the US to other EV makers. Stay Updated With The Stock Market: ;1
