;Unnamed: 0;date;news;label
0;0;1/2/2017;The company says it has determined the likely cause of an explosion in September that led to setbacks in its schedule.;-1.0
1;1;1/14/2017;The return to business for Elon Musk’s company was successful, despite being overshadowed by questions about the viability of his long-range plans.;1.0
2;2;1/20/2017;The highway agency found that while Tesla’s Autopilot feature didn’t prevent a crash in Florida, the system performed as it was intended.;1.0
3;3;1/26/2017;Electric vehicles offer a new chance to Chinese car-making efforts that have floundered in the past. But lavish state aid could be as much bane as boon.;-1.0
4;4;1/26/2017;The political tide might seem unfavorable for electric cars and solar panels, but the new president may see them as part of a job-producing future.;-1.0
5;5;1/27/2017;Mr. Musk might seem to be anathema to the president, yet he’s part of Mr. Trump’s meetings with business leaders. The reasons: jobs, vision and power.;0.0
6;6;1/28/2017;Social media tries to tamp down fake news sites, the president isn’t giving up his unsecured phone and Elon Musk is trying to be a voice of reason.;0.0
7;7;1/30/2017;A whirlwind three-month project is helping the luxury carmaker transform itself into a multifaceted clean energy company.;1.0
8;8;1/31/2017;Whispered questions among business leaders over the weekend produced no clear consensus on what to say about the President Trump’s immigration order in public.;0.0
9;9;2/3/2017;Uber’s chief executive told employees he was leaving a presidential advisory council after intense criticism from customers and employees.;0.0
10;10;2/4/2017;The tech industry was in an uproar over President Trump’s immigration order, but Silicon Valley’s most noted Trump supporter was unfazed. He’s applied for New Zealand citizenship.;-1.0
11;11;2/6/2017;In a court filing, nearly 100 technology companies cited the “tremendous impact” of immigrants on the United States in opposing the Trump immigration ban.;0.0
12;12;2/19/2017;The popular imagination may associate billionaires with superyachts and private islands, but just as many live modestly, complicating the idea of the billionaire lifestyle.;0.0
13;13;2/19/2017;The rocket lifted off from a launchpad used for the Apollo moon missions. It was the first launch from Kennedy Space Center in more than five years.;0.0
14;14;2/19/2017;A Falcon 9 rocket from Elon Musk’s Space Exploration Technologies Corporation, or SpaceX, was launched at the John F. Kennedy Space Center in Florida on Sunday, carrying supplies, experiments and cargo to the International Space Station.;1.0
15;15;2/20/2017;No deal on the latest stage of a bailout is expected in Brussels. Minutes from the Federal Reserve’s first 2017 meeting could offer clues to its next move on interest rates.;0.0
16;16;2/27/2017;If the mission proceeds as planned, the private space travelers would be the first humans to venture that far into space in more than 40 years.;0.0
17;17;3/2/2017;Along with sensors, autonomous vehicles will need detailed maps of the road and the obstacles ahead. Creating these maps will be a monumental task.;-1.0
18;18;3/3/2017;Ready for liftoff?;0.0
19;19;3/11/2017;While the battle in Washington gets much of the attention, the most direct attack against electric vehicles is being waged in statehouses.;-1.0
20;20;3/11/2017;While immigration, health care and Russia are hogging the media oxygen, big reversals are happening in Obama-era tech policy.;-1.0
