,news,label
0,demand Tesla mile significantly increase ton people today afford Tesla happily Tesla robotaxis cheap convenient,0.0
1,yeah course absolutely embarasse man like see market tesla dipping think d deal,0.0
2,remind FUD Tesla go,0.0
8,Tesla charge handle like Porsche,0.0
9,hire electrician Tesla site run line wall charger,0.0
10,Ford electric crossover accolade Mustang Mach E help Tesla,0.0
13,Tesla offer miniature key fob Model S Model X anymore,0.0
14,sort hardship sell tesla,0.0
18,thank pic danielle x question couple charge place right corner single unit charge cable Tesla unit maybe dumb question,0.0
20,choice mere event happen continue happen understand fully know in out information die Nikola Tesla find result govt refuse info,0.0
23,Tesla buyer tsla buyer like,0.0
26,Elon offer Tesla stock deal Twitter cash,0.0
27,,0.0
33,real phone vs smartphone,0.0
35,Donald Trump want start family happen Tesla get pregnant move TJ Max,0.0
36,think good Tesla drivetrain rest car questionable build quality don hardhat retreat Anderson shelter,0.0
39,ev expensive rip off total cost run Model June home charger ludicrously cheap motoring,0.0
45,oh bad think emission comparison,0.0
47,remember time start trade big amount Pffff nerve wreck trade work great feeling big research build strategy develop small amount,0.0
48,chademo charge Hokkaido Aeon Mall Sapporo Hakodate good option superchargersinhokkaido,0.0
49,Tesla sale lead sale word mouth TSLA,0.0
51,gas equivalency different Canada gallon gas roughly equivalent kWh extract energy gas canadian gas substantially different lol,0.0
58,pretty sure TESLA Apple bank Amazon etc capitalist fact ceo call libertarian commie sit CEO blackrock etc,0.0
59,indians overcome sit,0.0
61,Lucid brown popular octogenarian crowd great cruiser,0.0
65,EV maker gain Ground Tesla China Threat loom,0.0
66,Dems control fed policy republican,0.0
69,dream Nikola Tesla invent animatronic,0.0
75,scary sight deteriorate watch cell year half true struggle get iPad live show bifocal right feel like drunk chameleon look,0.0
82,Tesla expand Supercharger network ev,0.0
84,action take open TESLA SIEMENS CLOSED TESLA SIEMENS computerized body TOMOGRAPHY ULTRASOUND DOPPLER ULTRASOUND PENILE DOPPLER MAMMOGRAPHY BONE densitometry DEXA break STONE BIOPSY breast BIOPSY medicalturkey lifeeurope,0.0
85,Thanks bro honestly point vin soon aim order fulfil stop happen yeah TMC fanboy rampant realistic,0.0
88,,0.0
90,wow interesting think age limit stepfather Tesla hater ask FSD think age argument btw,0.0
92,sale grown ass man make photo booth meme tell Obama BS Artist money small Testicles car sorry Tesla responsible fuck lot people live laugh you wanna b,0.0
96,Tesla car insurance new guide explore cover option New Zealanders,0.0
99,pet cat see light father tell call electricity vivid brain celebrate Tesla follow regular vividbraindesign illustrationoftheday quoteoftheday nikolatesla,0.0
100,mean solely electric supplement combustion engine power solar insinuate previous comment block person claim open discussion,0.0
101,trading plan ahead time lot phone visitor coffee gallon LFG,0.0
102,ask Tesla tbh calle ask,0.0
106,scare incumbent decade push telematic device yield low adoption Tesla make table stake year continue sound like distribution trust problem limit stuff get vehicle,0.0
108,need order new one good,0.0
109,spend gallon fill boat marina chance Tesla watercraft inthe future,0.0
110,India population explode ElonMusk set India,0.0
116,Happy Birthday Nikola Tesla,0.0
118,happy birthday great mind human history Nikola Tesla birthday anniversary,0.0
119,yes Switzerland France month video,0.0
120,look like boil egg rivian suv run money,0.0
124,taycan bad car,0.0
125,Tesla CEO Elon Musk take swipe Twitter lawsuit threat,0.0
128,Disagree Tesla block amp bit monopoly company bring ev know Tesla owner apparently customer service non existent guarantee hit,0.0
131,genuine question Musk sell Tesla share buy Twitter pay income tax,0.0
132,Tesla exactly head need glass asap sit watch live stream cell eye shoot read properly anymore blame age man,0.0
133,EV market highlight PEV shipment grow yoy reach unit total ev sale BEV lead follow Tesla grow yoy BYD grow yoy read,0.0
136,TheStreet Tim Cook Snubs Tesla Elon Musk Big Rival,0.0
137,company size Tesla lawsuit new,0.0
141,factor consider choose desire brand brand location example bring car like General Motors Lincoln Navigator Tesla place like Lagos Nigeria,0.0
143,Musk chief executive officer Tesla Inc say Friday terminate deal buy Twitter company breach multiple provision merger agreement jakpost,0.0
144,Jcsportline introduce ultra premium prepreg carbon fiber body kit Tesla Model tesla TeslaMotors teslamodely nevscar carmodification resto,0.0
145,leave reduce price Tesla afford,0.0
146,Major New Tesla Semi Update,0.0
147,short Tesla year ago,0.0
148,Tesla Supercharger network open non tesla ev accord White House car,0.0
149,Tesla literal page say found GROUP engineer opposite say absolute potato,0.0
150,claim short factually wrong,0.0
151,Elon Musk probably want liquid Tesla stock crash tbh,0.0
153,Marconi win Nobel Prize Physics invention radio Tesla furious sue Marconi case drag court year settle Tesla favor death,0.0
154,change calendar competition EcoGP new race place Czech Republic early October unfortunately lose opportunity hold race Nürburgring ecogp ecogp tesla race competition evcar ElectricVehicles,0.0
155,instead Elon Musk purchase Twitter dearly wish Musk start new company manufacture High End Computer Chips good security Tesla High Tech Industry job,0.0
157,Ludicrous Unvarnished Story Tesla Motors NSOBUQM,0.0
158,EV maker gain Ground Tesla Ex Wife Threat Looms Forbes,0.0
159,great watch tesla tslaq cc,0.0
160,fully modular stackable Tesla wind tower available near soon weather wind speed fully automate orientable axis,0.0
162,send Tesla China manufacture Type car government military Peoples Republic China money undermine Great Country,0.0
163,ruin Tesla memory,0.0
164,live Austria see lately Berlin ramp,0.0
165,bot Tesla specific reposte news feed affect Tesla stock price study lie,0.0
167,Tesla begin dry simply eliminate solvent stage rationale end soak electrolyte,0.0
168,lbs battery Tesla give energy equivalent energy gallon Diesel weight lbs,0.0
170,Marconi able send transatlantic radio message Tesla patent Edison back Marconi financially Tesla problem Marconi achievement,0.0
171,yes normally turn minute hour,0.0
175,,0.0
176,tesla hp percent battery remain lol ice car hp right till run gas,0.0
177,time italian entrepreneur Guglielmo Marconi work radio try patent turn similar Tesla,0.0
179,Tesla get subside gm make ev check fact time line buddy,0.0
180,green hydrogen tesla car green hydrogen great future,0.0
181,stop ev roadtrip caravan choose Tesla Supercharger decision availability reliability EV mercedeseqc block supercharger need van detach caravan,0.0
184,,0.0
185,Elon shock SHOCKED learn fake account Twitter buyer remorse offer pay premium vanity buy watch net worth crash Tesla value plunge Twitter fall Occam Razor,0.0
187,bot Tesla specific paper claim affect result stock price,0.0
191,look mirror cause talk bot Bye block,0.0
193,Tesla set series laboratory NY new project create early version neon light Tesla Turbine Tesla coil death ray pioneer x ray technology,0.0
194,solvent binder Tesla add electrolyte end slow slow process M add beginning fast,0.0
196,hear gm nope think gm gret pay tesla get pay interest tesla woudt unfair,0.0
197,example imagine screw economy charge tesla simple learn play bag pipe lol,0.0
198,like obvious reason look like,0.0
199,Elon Musk walk away Twitter deal sell billion worth Tesla TSLA stock,0.0
200,executive face important,0.0
201,Tesla collection lose,0.0
202,return Westinghouse pay Tesla m today use AC patent forever,0.0
203,Wha mean give build,0.0
204,stan believe competition come lmao tslaq,0.0
206,inspire mind drive like Tesla,0.0
207,amidst buy Twitter ensure equality Tesla stock price plummet fear unstable sale Tesla interesting,0.0
208,zachmultimediacoinagemint theteslatraip prepare file suit vow hold original deal term,0.0
209,Tesla walk away M today royalty hold royalty time likely wealthy person planet act compassion friend save company,0.0
210,hi nice meet pronunciation chinese meme yes meme Nikola Tesla say know magnificence key universe nftart brand,0.0
211,Kosovo independent country care embassy Belgrade Serbia want EU member Tesla bear Croatia get passport identify solely american cry diet moskal,0.0
212,Tesla CEO ElonMusk pull billion takeover Twitter claim information provide company number spam fake account high claim,0.0
213,Musk force field wealth help drive hand coverage know maybe buy billion dollar worth Tesla ad perceive favourably idea seldom articulate openly influence opinion piece like,0.0
214,Funny maybe stop kill people like people figure run car water Tesla free energy,0.0
215,Elon not play lol need care s go Tesla,0.0
218,expert pro Tesla tweet bot,0.0
219,ok hear NIO,0.0
222,Tesla compel compassion friend rip contract grateful Westinghouse believe,0.0
224,Tesla find fund hire designer create good looking car,0.0
225,completely wrong Musk literally start Tesla garage,0.0
227,make intent buy Tesla public offer Tic Tacs,0.0
228,guy loose cannon fine loose cannon decision make power publicly list investable company risk erratic narcissistic decision price valuation market toss Musk,0.0
229,think long twitter short tesla deal actually accelerate,0.0
230,like FUCK happened hype theresa get minute screen time bronya win rita care tesla einstein say story hype s rank valk end add nearly plot,0.0
231,company run money go m debt Westinghouse go Tesla ask royalty reduce attempt save company,0.0
232,taycan dealer software update,0.0
233,Tesla surprising Lead Europe July Tesla take surprising lead Europe astonishing number continue China storm despite shutdown Info,0.0
234,Toyota lead EV Tech Mazda Smart New Invention White House speak Cold Start miss weekend coldstart electricvehicle government industrynews read,0.0
236,try bring DeLorean course Tesla Eneftees involve,0.0
237,Tesla CEO Elon Musk take swipe Twitters lawsuit threat meme Tesla SpaceX CEO Elon Musk take swipe Twitter threaten sue american billionaire termination usd billion,0.0
238,Tesla participate Emergency Load Reduction Program pilot enrolling amp combine residential Powerwall home battery system virtual power plant discharge power California grid time high electricity demand,0.0
239,Electric Vehicle Buyers want Rebates tax credit,0.0
241,Westinghouse Tesla ultimately win war current DC phase problem,0.0
243,Tesla die virgin jus go to leave,0.0
244,MG ZS EV Funky CAT Tesla Model Y huge amount part,0.0
247,remember write pick Tesla private price amuse musician girlfriend Grimes significance marijuana culture print page,0.0
248,funny thing metric system admit m L,0.0
249,Tesla Model Ranked green EV Lucid Air come second Model Long Range top year Bloomberg Green Electric Car Ratings green ev available TSLA LCID evs America,0.0
250,Billionaire Elon Musk take swipe microblogge site Twitter threaten sue Tesla SpaceX ceo termination billion deal,0.0
255,BIG Opportunity Nancy Pelosi Exposes New Weird Tax GM amp tesla g,0.0
257,Tesla hair electromagnet extra brainy,0.0
258,will lose motor keep motor watch video need feel threaten wonder legacy automaker fanboy feel tesla come,0.0
260,Elon Musk react Twitter threat sue Tesla SpaceX ceo attempt terminate,0.0
263,yeah Elon Musk hate bot Tesla bot,0.0
264,Elon Musk walk away Twitter deal sell billion worth Tesla TSLA stock,0.0
265,give average include engineer position bump GM floor worker GM employee rate job satisfaction higher adjust COL Tesla build high price area close,0.0
267,Toyota lead EV Tech Mazda Smart New Invention White House speak Tesla Cold Start,0.0
268,look like YouTube channel Raxxo hack people hack JoelG couple week ago rename Tesla Company livestream promote NFTs SaveRaxxo,0.0
269,Tesla CEO ElonMusk poke fun Twitter take court share meme fun micro blogge platform,0.0
271,Twitter take Musk courtroom terminate takeover Tesla chief react meme detail,0.0
273,normie think vindicate cause climate change narrative simply engineer drought elementary basic science like free energy Tesla achieve Chicago Fair,0.0
274,try gauge bot percentage experience go to work bot spam hundred thousand time day user target gullible one crypto meme stonk tesla fan boy fair share bot spam,0.0
278,glance Mars tesla charge station line version black TESLA patiently wait recharge ev space vehicle way Venus,0.0
279,Tesla Spacex owe existence Barack Obama fund company close shop shut forever south african asshole berate Obama party amp praise Trump party hate government funding trumpy,0.0
281,publish Elon Musk withdraw Twitter Transaction sell billion Tesla Tsla,0.0
283,expensive hobby Musk pretend go Tesla private pay Securities Exchange Commission million fine stop chairman Tesla board,0.0
284,Edison try hard discredit Tesla secretly finance electric chair AC prove dangerous AC torture animal publicly AC film elephant electrocute hero tell school,0.0
285,Tesla license patent Westinghouse k receive stock royalty Westinghouse hire consultant k month equivalent k today war current begin,0.0
286,Tesla invent induction motor run AC efficient today version power vehicle take inventor logo motor,0.0
290,time manager Edison company offer Tesla bonus improve machine run DC pay Edison tell understand american humor,0.0
292,Tesla fan AC Edison prefer DC AC transmit large distance today home,0.0
293,Tesla manager offer job Edison Machine Works NYC agree arrive cent pocket steal,0.0
297,Tesla interested engineering contract cholera teen nearly die father promise send engineering school survive miraculously,0.0
299,Tesla credit mother uka Mandi interest invention father priest want,0.0
303,electric car Electric car electric car Subscribe Electric Vehicle News Bitesize Podcast FREE Nissan Leaf friend bar think Tesla invent mainstream electric car Nissan Leaf,0.0
304,stock watch week Air Lines Chase,0.0
306,Tesla founder ElonMusk announcement pull acquisition Twitter set internet abuzz accept rash Twitter assemble team lawyer decide sue billionaire complete plan deal accord Reuters,0.0
307,Elon Musk Humanoid Tesla Robot predict ready Months Elon Musk think robot buy grocery apparently look feel human develop personality horny man adopt robot end,0.0
310,Tesla die break live diet warm milk cracker obsess feed pigeon outside great inventor time fade obscurity die penniless reason clear end thread,0.0
312,suckere buy Tesla stock year ago investment sucker,0.0
313,plug phone turn light use refrigerator Nikola Tesla thank,0.0
314,think great inventor time name come mind Henry Ford Wright brother Thomas Edison recognizable Nikola Tesla thread life,0.0
